id;nazov;mestska_cast;ucel;faza;navrhovatel;dokumentov;suradnice;poznamka;hladat_v_mapach;spis
zariadenie-na-zber-zdravotnickeho-odpadu-podunajske-biskupice;Zariadenie na zber zdravotníckeho odpadu - Podunajské Biskupice;Bratislava - Podunajské Biskupice;Vybavenosť;posúdené;EPA Plus, s.r.o.;5;;;https://www.google.com/maps/search/Zariadenie%20na%20zber%20zdravotn%C3%ADckeho%20odpadu%20-%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zariadenie-na-zber-zdravotnickeho-odpadu-podunajske-biskupice
zberny-dvor-odpadov-anceta;Zberný dvor odpadov ANČETA;Bratislava - Podunajské Biskupice;Výroba a sklady;zámer;ANČETA, s.r.o., Podunajské Biskupice – Ketelec 1;6;;;https://www.google.com/maps/search/Zbern%C3%BD%20dvor%20odpadov%20AN%C4%8CETA%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zberny-dvor-odpadov-anceta
zemniky-ketelec;Zemníky Ketelec;Bratislava - Podunajské Biskupice;Výroba a sklady;posúdené;ANČETA s.r.o., Podunajské Biskupice – Ketelec;10;;;https://www.google.com/maps/search/Zemn%C3%ADky%20Ketelec%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zemniky-ketelec
zhodnocovanie-druhotnych-surovin-recopap-zvysenie-kapacity;Zhodnocovanie druhotných surovín RECOPAP - zvýšenie kapacity;Bratislava - Podunajské Biskupice;Technická infraštruktúra;posúdené;RECOPAP, s.r.o., Bratislavská 18;5;;;https://www.google.com/maps/search/Zhodnocovanie%20druhotn%C3%BDch%20surov%C3%ADn%20RECOPAP%20-%20zv%C3%BD%C5%A1enie%20kapacity%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zhodnocovanie-druhotnych-surovin-recopap-zvysenie-kapacity
zvysenie-kapacity-zhodnocovania-ostatneho-inertneho-stavebneho-odpadu--1;Zvýšenie kapacity zhodnocovania ostatného a inertného stavebného odpadu na skládke inertného odpadu - Podunajské Biskupice;Bratislava - Podunajské Biskupice;Polyfunkcia;zámer;A-Z STAV, Odeská 3;8;;;https://www.google.com/maps/search/Zv%C3%BD%C5%A1enie%20kapacity%20zhodnocovania%20ostatn%C3%A9ho%20a%20inertn%C3%A9ho%20stavebn%C3%A9ho%20odpadu%20na%20skl%C3%A1dke%20inertn%C3%A9ho%20odpadu%20-%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zvysenie-kapacity-zhodnocovania-ostatneho-inertneho-stavebneho-odpadu--1
zvysenie-kapacity-zhodnocovania-ostatneho-inertneho-stavebneho-odpadu-;Zvýšenie kapacity zhodnocovania ostatného a inertného stavebného odpadu na skládke inertného odpadu – Podunajské Biskupice;Bratislava - Podunajské Biskupice;Polyfunkcia;posúdené;A-Z STAV s.r.o., Odeská 3;4;;;https://www.google.com/maps/search/Zv%C3%BD%C5%A1enie%20kapacity%20zhodnocovania%20ostatn%C3%A9ho%20a%20inertn%C3%A9ho%20stavebn%C3%A9ho%20odpadu%20na%20skl%C3%A1dke%20inertn%C3%A9ho%20odpadu%20%E2%80%93%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zvysenie-kapacity-zhodnocovania-ostatneho-inertneho-stavebneho-odpadu-
uzemny-plan-zony-centrum-podunajske-biskupice-v-zneni-zmien-doplnkov-c;Územný plán zóny Centrum - Podunajské Biskupice, v znení zmien a doplnkov č. 4/2020;Bratislava - Podunajské Biskupice;Plány a koncepcie;posúdené;Mestská časť Bratislava - Podunajské Biskupice;4;;;https://www.google.com/maps/search/%C3%9Azemn%C3%BD%20pl%C3%A1n%20z%C3%B3ny%20Centrum%20-%20Podunajsk%C3%A9%20Biskupice%2C%20v%20znen%C3%AD%20zmien%20a%20doplnkov%20%C4%8D.%204/2020%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/uzemny-plan-zony-centrum-podunajske-biskupice-v-zneni-zmien-doplnkov-c
uzemny-plan-zony-centrum-podunajske-biskupice-zmeny-doplnky-c-01-2014;Územný plán zóny Centrum – Podunajské Biskupice, Zmeny a doplnky č. 01/2014;Bratislava - Podunajské Biskupice;Plány a koncepcie;posúdené;Mestská časť Bratislava – Podunajské Biskupice, Trojičné námestie č. 1;7;;;https://www.google.com/maps/search/%C3%9Azemn%C3%BD%20pl%C3%A1n%20z%C3%B3ny%20Centrum%20%E2%80%93%20Podunajsk%C3%A9%20Biskupice%2C%20Zmeny%20a%20doplnky%20%C4%8D.%2001/2014%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/uzemny-plan-zony-centrum-podunajske-biskupice-zmeny-doplnky-c-01-2014
tazba-strkopieskov-podunajske-biskupice;Ťažba štrkopieskov Podunajské Biskupice;Bratislava - Podunajské Biskupice;Výroba a sklady;posúdené;Ančeta s.r.o., Podunajské Biskupice - Ketelec 1;20;;;https://www.google.com/maps/search/%C5%A4a%C5%BEba%20%C5%A1trkopieskov%20Podunajsk%C3%A9%20Biskupice%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/tazba-strkopieskov-podunajske-biskupice
zst-nove-kosariska-zachytne-parkovisko-pre-iad;ŽST Nové Košariská - záchytné parkovisko pre IAD;Bratislava - Podunajské Biskupice;Doprava;posúdené;Železnice Slovenskej republiky;3;;;https://www.google.com/maps/search/%C5%BDST%20Nov%C3%A9%20Ko%C5%A1arisk%C3%A1%20-%20z%C3%A1chytn%C3%A9%20parkovisko%20pre%20IAD%20Bratislava%20-%20Podunajsk%C3%A9%20Biskupice;https://www.enviroportal.sk/eia/detail/zst-nove-kosariska-zachytne-parkovisko-pre-iad
-na-rinzloch-;"""Na Rinzloch""";Bratislava - Rača;Bývanie;zámer;HMS Services, a.s., Vysokoškolákov 8556/33B;18;;;https://www.google.com/maps/search/%22Na%20Rinzloch%22%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/-na-rinzloch-
bratislava-raca-polyfunkcny-subor-rustaveliho-;"Bratislava- Rača- Polyfunkčný súbor ""Rustaveliho""";Bratislava - Rača;Polyfunkcia;posúdené;INTERCOM Agentúra s.r.o.;5;;;https://www.google.com/maps/search/Bratislava-%20Ra%C4%8Da-%20Polyfunk%C4%8Dn%C3%BD%20s%C3%BAbor%20%22Rustaveliho%22%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/bratislava-raca-polyfunkcny-subor-rustaveliho-
bytovy-dom-ul-uziny-bratislava-raca;Bytový dom, ul. Úžiny, Bratislava - Rača;Bratislava - Rača;Bývanie;zámer;Centrum Pezinok s.r.o., Trenčianska 47;7;;;https://www.google.com/maps/search/Bytov%C3%BD%20dom%2C%20ul.%20%C3%9A%C5%BEiny%2C%20Bratislava%20-%20Ra%C4%8Da%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/bytovy-dom-ul-uziny-bratislava-raca
bytovy-komplex-v-lokalite-rinzle-raca;Bytový komplex v lokalite Rinzle Rača;Bratislava - Rača;Zeleň a verejný priestor;posúdené;Rinzle Rača s r. o., Gajova 4;42;;;https://www.google.com/maps/search/Bytov%C3%BD%20komplex%20v%20lokalite%20Rinzle%20Ra%C4%8Da%20Bratislava%20-%20Ra%C4%8Da;https://www.enviroportal.sk/eia/detail/bytovy-komplex-v-lokalite-rinzle-raca
