istota;projekt;znamka;majitel;cislo;firma;skupina;zhoda_slov;projekt_id
ista;Polyfunkčný objekt Chalupkova R1;Chalupkova Residence;Penta Real Estate , a. s.;2268-2024;Smart City Office I s. r. o.;Penta Real Estate;1;polyfunkcny-objekt-chalupkova-r1
ista;Polyfunkčný objekt Chalupkova R1;Chalupkova Tower;Penta Real Estate , a. s.;2106-2024;Smart City Office I s. r. o.;Penta Real Estate;1;polyfunkcny-objekt-chalupkova-r1
ista;Polyfunkčný súbor NIVI;NIVI;NIVI s.r.o.;2145-2020;NIVI s.r.o.;;1;polyfunkcny-subor-nivi
ista;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;PANORAMA CITY;JTRE a.s.;5378-2013;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
ista;Polyfunkčný súbor Vajnorská;Vajnorská;Penta Real Estate , a. s.;2337-2024;UNL;Penta Real Estate;1;polyfunkcny-subor-vajnorska
ista;Polyfunkčný súbor stavieb Klingerka 2 a Polyfunkčný súbor stavieb Klingerka 3;KLINGERKA;JTRE a.s.;2304-2016;Kalos;J&T Real Estate;1;polyfunkcny-subor-stavieb-klingerka-2-polyfunkcny-subor-stavieb-klinge
ista;SOUTHBANK Bratislava;SOUTHBANK;Penta Real Estate , a. s.;3001-2024;South Bank s. r. o.;Penta Real Estate;1;southbank-bratislava
ista;Sport & Retail Park SLNEČNICE – JUŽNÉ MESTO;SLNEČNICE;CRESCO GROUP, a. s.;1663-2015;Delta Construction;Cresco Real Estate;1;sport-retail-park-slnecnice-juzne-mesto
ista;TWIN CITY Autobusová stanica, Bratislava;TWIN CITY;HB Reavis Group a. s.;683-2005;Twin City a.s.;HB Reavis;1;twin-city-autobusova-stanica-bratislava
stredna;Administratívna budova Panorama City V Business, Bratislava, Landererova ul.;LANDEREROVA 12 euroveacity;JTRE a.s.;2557-2018;Menolli;J&T Real Estate;1;administrativna-budova-panorama-city-v-business-bratislava-landererova
stredna;Administratívna budova Panorama City V Business, Bratislava, Landererova ul.;PANORAMA TOWERS euroveacity;JTRE a.s.;2555-2018;Menolli;J&T Real Estate;1;administrativna-budova-panorama-city-v-business-bratislava-landererova
stredna;Administratívna budova Panorama City V Business, Bratislava, Landererova ul.;W WESTEND BUSINESS PARK;JTRE a.s.;1424-2012;Menolli;J&T Real Estate;1;administrativna-budova-panorama-city-v-business-bratislava-landererova
stredna;Administratívno - prevádzkové budovy BITTNER GROUP I. a II., Ivánska cesta, Bratislava;BITTNER Travel;BITTNER Travel, s.r.o.;2829-2024;Bittner group;;1;administrativno-prevadzkove-budovy-bittner-group-i-ii-ivanska-cesta-br
stredna;Dostavba areálu WESTEND, Polyfunkčný objekt CROSSING, Dúbravská cesta, Bratislava;WESTEND COURT;JTRE a.s.;5190-2015;Westend Crossing;J&T Real Estate;1;dostavba-arealu-westend-polyfunkcny-objekt-crossing-dubravska-cesta-br-2
stredna;Dostavba areálu WESTEND, Polyfunkčný objekt CROSSING, Dúbravská cesta, Bratislava;WESTEND SQUARE;JTRE a.s.;5188-2015;Westend Crossing;J&T Real Estate;1;dostavba-arealu-westend-polyfunkcny-objekt-crossing-dubravska-cesta-br-2
stredna;Dostavba areálu WESTEND, Polyfunkčný objekt CROSSING, Dúbravská cesta, Bratislava;W WESTEND BUSINESS PARK;JTRE a.s.;1424-2012;Westend Crossing;J&T Real Estate;1;dostavba-arealu-westend-polyfunkcny-objekt-crossing-dubravska-cesta-br-2
stredna;Forum Business Center II., Bratislava;APOLLO BUSINESS CENTER II;HB REAVIS Slovakia a. s.;5290-2008;Pressburg Urban Projects a.s.;HB Reavis;1;forum-business-center-ii-bratislava
stredna;Forum Business Center II., Bratislava;APOLLO BUSINESS CENTER;HB REAVIS Slovakia a. s.;2052-2003;Pressburg Urban Projects a.s.;HB Reavis;1;forum-business-center-ii-bratislava
stredna;METRO Devínska Nová Ves – prístavba Delivery;METRO VÁŠ ÚSPECH JE NÁŠ CIEĽ;MIP METRO Group Intellectual Property GmbH & Co. KG;2141-2018;METRO Group Properties SR;;1;metro-devinska-nova-ves-pristavba-delivery-
stredna;Obytný súbor Grand Koliba;GRAND KOLIBA REZIDENCIE;GRAND KOLIBA , s. r. o.;1148-2016;GRAND KOLIBA;;2;obytny-subor-grand-koliba
stredna;Obytný súbor Teslova;Townhaus Teslova;MTS SVK Development 10, s. r. o.;2916-2025;MTS SVK Development 10;Metrostav Estate;1;obytny-subor-teslova
stredna;Obytný súbor Teslova;Townhaus Teslova;MTS SVK Development 10, s. r. o.;2916-2025;MTS SVK Development 10;Metrostav Estate;1;obytny-subor-teslova
stredna;POLYFUNKČNÝ DOM – Žilinská/Kýčerského ulica, Bratislava – Staré Mesto;Žilinská teplárenská;Žilinská teplárenská, a.s.;2341-2017;Park – Dom Žilinská s.r.o.;;1;polyfunkcny-dom-zilinska-kycerskeho-ulica-bratislava-stare-mesto-1
stredna;Panorama City – I. etapa;PANORAMA TOWERS euroveacity;JTRE a.s.;2555-2018;Panorama byty;J&T Real Estate;1;panorama-city-i-etapa
stredna;Polyfunkčný komplex Zátišie;PARQ ZÁTIŠIE;ATRIOS real estate s.r.o.;2546-2025;ATRIOS real estate s.r.o.;;1;polyfunkcny-komplex-zatisie
stredna;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;PRIBINOVA 10 euroveacity;JTRE a.s.;2556-2018;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
stredna;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;PANORAMA TOWERS euroveacity;JTRE a.s.;2555-2018;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
stredna;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;PRIBINOVA 6 euroveacity;JTRE a.s.;2553-2018;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
stredna;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;PRIBINOVA 19 euroveacity;JTRE a.s.;2552-2018;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
stredna;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;PRIBINOVA 4 euroveacity;JTRE a.s.;2551-2018;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
stredna;Polyfunkčný súbor Panorama City – II. etapa, Administratívna budova Panorama City II Business Bratislava, Pribinova a Čulenova ul.;W WESTEND BUSINESS PARK;JTRE a.s.;1424-2012;Wendel;J&T Real Estate;1;polyfunkcny-subor-panorama-city-ii-etapa-administrativna-budova-panora
stredna;Polyfunkčný súbor Vajnorská;Etapy Vajnorská;Penta Real Estate , a. s.;694-2025;UNL;Penta Real Estate;1;polyfunkcny-subor-vajnorska
